,is_label_issue,label_score,given_label,predicted_label
0,False,0.36078578,6,6
1,False,1.0,9,9
2,False,0.86238855,9,9
3,False,0.99717087,4,4
4,False,1.0,1,1
5,False,0.999491,1,1
6,False,0.9984351,2,2
7,False,1.0,7,7
8,False,0.9999597,8,8
9,False,0.99678755,3,3
10,False,0.9998078,4,4
11,False,0.9983348,7,7
12,False,0.99974746,7,7
13,False,0.01029014,2,8
14,False,0.99911135,9,9
15,False,0.9934149,9,9
16,False,0.9998115,9,9
17,False,0.41082346,3,5
18,True,0.008757763,2,6
19,False,0.9771119,6,6
20,False,0.35015547,4,4
21,False,0.85334677,3,3
22,False,1.0,6,6
23,False,0.9999995,6,6
24,False,0.42904776,2,3
25,False,0.7894068,6,6
26,False,0.96826977,3,3
27,False,0.11396101,5,2
28,True,0.1224765,4,7
29,False,0.9969037,0,0
30,False,0.99989414,0,0
31,False,0.9999919,9,9
32,False,0.9999833,1,1
33,False,0.6596864,3,3
34,False,1.0,4,4
35,True,0.0027686919,0,2
36,False,0.8730763,3,3
37,False,0.5696845,7,7
38,False,0.5643254,3,3
39,True,6.681209e-06,3,6
40,False,0.993086,5,5
41,False,0.9999995,2,2
42,False,0.52503407,2,2
43,False,1.0,7,7
44,False,0.99999845,1,1
45,False,1.0,1,1
46,False,1.0,1,1
47,False,0.015300115,2,8
48,False,0.70127445,2,2
49,True,0.11499702,0,3
50,False,0.12240786,9,3
51,True,0.19372256,5,3
52,False,0.9981255,7,7
53,False,1.0,9,9
54,False,0.9993481,2,2
55,False,0.44821844,2,2
56,False,0.7455193,5,5
57,False,0.6308636,2,2
58,False,0.828411,4,4
59,True,0.0026552945,3,9
60,False,1.0,1,1
61,False,0.99999964,1,1
62,False,0.9999591,8,8
63,True,0.14387745,2,6
64,False,0.9912273,1,1
65,False,0.99999905,1,1
66,False,0.40150478,4,7
67,False,0.99992955,9,9
68,False,1.0,7,7
69,False,1.0,8,8
70,False,0.9974657,5,5
71,False,0.9996112,9,9
72,False,0.27841124,6,9
73,False,0.86642027,7,7
74,False,0.18595779,3,2
75,False,0.57511806,1,1
76,False,0.9999999,9,9
77,False,0.57474065,0,0
78,False,0.41650897,3,3
79,False,0.9998068,1,1
80,False,0.53483206,3,3
81,False,0.419393,5,3
82,False,0.9861172,4,4
83,True,0.037793092,5,3
84,False,0.73070186,7,7
85,False,0.8210439,7,7
86,False,0.9999093,4,4
87,False,0.9999825,7,7
88,False,0.9995347,9,9
89,False,0.42070758,4,4
90,False,0.3862763,2,2
91,True,0.34596393,3,5
92,False,0.8031569,8,8
93,False,0.638398,0,0
94,False,0.9999949,1,1
95,False,0.9627145,6,6
96,False,0.9999994,1,1
97,False,0.9324645,1,1
98,False,0.58979326,4,4
99,False,1.0,1,1
100,False,0.9683773,8,8
101,False,0.9612501,3,3
102,False,0.9999125,9,9
103,False,1.0,6,6
104,False,0.99998915,6,6
105,False,1.0,1,1
106,False,0.99999976,8,8
107,False,0.95123225,5,5
108,False,0.9995914,2,2
109,False,0.99995494,9,9
110,False,0.9998179,9,9
111,False,0.9998566,8,8
112,False,0.99999845,1,1
113,False,0.10784419,7,6
114,False,0.8309819,7,7
115,False,0.99977475,0,0
116,False,0.9906453,0,0
117,False,0.99994636,6,6
118,False,0.9999896,9,9
119,False,0.9999999,1,1
120,False,1.0,2,2
121,True,0.21987253,2,4
122,False,0.99996257,9,9
123,False,0.15114452,2,5
124,False,0.9999927,6,6
125,False,0.9999999,6,6
126,False,0.99767977,1,1
127,False,0.9986753,9,9
128,True,0.17120393,5,3
129,False,0.80938894,0,0
130,False,0.9967944,4,4
131,False,0.2959635,7,4
132,False,0.9949162,6,6
133,False,0.9999502,7,7
134,False,1.0,1,1
135,False,1.0,8,8
136,False,1.0,1,1
137,False,0.70940304,1,1
138,False,0.9721023,2,2
139,False,1.0,8,8
140,False,0.950894,1,1
141,False,0.3943365,3,6
142,True,0.15847746,3,2
143,False,0.99999106,6,6
144,False,0.4173674,2,4
145,False,0.99999285,4,4
146,False,0.9998324,9,9
147,False,0.99626666,9,9
148,False,0.99999154,5,5
149,False,0.93826395,4,4
150,True,0.086063616,3,4
151,True,0.0063947514,6,5
152,False,0.99999917,7,7
153,False,0.8376409,4,4
154,False,0.8470853,6,6
155,False,0.99977547,8,8
156,False,0.5061269,5,5
157,True,0.3656493,5,3
158,False,0.9980533,4,4
159,False,0.42908043,3,3
160,False,0.9999933,1,1
161,False,0.9999757,8,8
162,True,0.0009632703,4,5
163,False,0.999658,7,7
164,False,1.0,6,6
165,False,0.99086964,0,0
166,True,0.13920502,9,8
167,False,0.9150935,5,5
168,False,0.44813895,1,9
169,False,0.9915958,3,3
170,False,0.9785331,8,8
171,False,0.8648806,2,2
172,False,0.99999976,7,7
173,False,0.79602766,5,5
174,False,0.3196296,3,5
175,False,1.0,4,4
176,False,1.0,1,1
177,False,0.9994474,5,5
178,False,0.99999917,7,7
179,True,0.022562413,0,4
180,False,0.9399492,4,4
181,False,0.8265801,7,7
182,False,0.99318874,5,5
183,False,0.99098057,5,5
184,False,0.9999423,1,1
185,True,0.0016901213,0,9
186,False,0.9999889,9,9
187,False,0.8546511,6,6
188,False,1.0,9,9
189,False,0.01567497,0,5
190,False,0.99995506,8,8
191,True,0.06358649,7,4
192,False,0.99999964,8,8
193,False,0.8255313,8,8
194,False,0.9995485,2,2
195,False,0.99969685,5,5
196,False,0.9970854,2,2
197,False,0.7563195,3,3
198,False,0.9972607,5,5
199,False,0.9992487,0,0
200,False,0.99967766,6,6
201,False,1.0,1,1
202,False,1.0,9,9
203,False,0.71766365,3,3
204,False,0.99991405,6,6
205,False,1.0,9,9
206,False,0.99999976,1,1
207,False,0.9628184,3,3
208,False,1.0,9,9
209,False,0.9999999,6,6
210,False,0.9999993,6,6
211,False,0.93518007,7,7
212,True,0.0012334901,1,9
213,False,1.0,0,0
214,False,0.9988996,9,9
215,False,0.6920347,5,5
216,False,0.9999999,8,8
217,False,0.60077894,5,5
218,False,0.9998006,2,2
219,False,1.0,9,9
220,True,0.022763422,0,8
221,False,0.99999213,8,8
222,False,1.0,8,8
223,False,0.2046467,0,2
224,False,0.9681149,6,6
225,False,0.99999976,9,9
226,False,1.0,1,1
227,False,0.40757665,1,1
228,False,1.0,6,6
229,True,0.25234374,3,5
230,True,4.5034383e-05,7,9
231,False,0.9999981,6,6
232,True,0.014394741,6,4
233,False,0.9999933,0,0
234,False,0.9585229,6,6
235,False,0.33114967,6,4
236,True,0.09485456,1,9
237,False,0.99999857,7,7
238,False,0.99999964,1,1
239,False,0.9999989,5,5
240,False,0.9684686,8,8
241,False,0.44655353,3,3
242,True,0.09023564,6,4
243,False,0.99989355,6,6
244,False,1.0,8,8
245,False,0.9994357,6,6
246,False,0.99445623,8,8
247,False,0.90621525,4,4
248,False,0.10227529,6,9
249,True,0.0026470302,6,8
250,False,0.99881846,1,1
251,False,0.67007244,3,3
252,False,0.9973459,8,8
253,True,0.037079424,3,4
254,False,0.99991167,4,4
255,False,1.0,1,1
256,False,0.99999917,7,7
257,False,0.99999964,1,1
258,False,0.7161849,3,3
259,False,0.9629527,8,8
260,True,0.19103238,5,3
261,False,1.0,1,1
262,False,0.9999982,1,1
263,False,0.99990916,4,4
264,False,0.99985456,0,0
265,False,0.999025,9,9
266,False,0.9938904,3,3
267,True,0.011004017,7,4
268,False,0.35037056,4,4
269,False,1.0,9,9
270,False,0.9999453,9,9
271,False,0.96980864,2,2
272,False,0.72306776,4,4
273,False,0.9999939,9,9
274,False,0.9999205,9,9
275,False,1.0,1,1
276,False,0.99998987,0,0
277,False,0.885735,5,5
278,False,1.0,9,9
279,False,0.64536405,0,0
280,False,0.99999905,8,8
281,False,0.67215186,2,2
282,True,0.036562614,1,6
283,False,0.23695359,2,6
284,True,0.06688454,0,8
285,False,0.32737625,5,5
286,False,0.59228724,6,6
287,False,0.94995683,3,3
288,False,0.89849323,2,2
289,False,1.0,7,7
290,False,0.9999999,8,8
291,False,0.9999993,8,8
292,False,0.916628,6,6
293,False,0.2152573,0,0
294,False,0.9972638,7,7
295,False,0.99994206,9,9
296,True,0.0019323591,4,7
297,False,0.9915979,5,5
298,False,0.4506604,6,6
299,False,0.9268457,4,4
300,True,0.11279916,2,4
301,True,0.0055705006,1,5
302,False,0.938556,1,1
303,True,0.102910854,2,0
304,False,0.893477,1,1
305,False,0.96471125,5,5
306,False,0.9999633,9,9
307,False,0.99999845,9,9
308,False,0.9999541,0,0
309,False,0.9999988,8,8
310,True,0.0606851,4,2
311,False,0.9926258,1,1
312,False,1.0,1,1
313,False,0.99999785,6,6
