,is_label_issue,label_score,given_label,predicted_label
0,False,0.8279015,5,5
1,False,0.99999356,0,0
2,False,0.9992848,4,4
3,False,0.9975853,1,1
4,False,0.97626436,9,9
5,False,0.99970907,2,2
6,False,0.99887425,1,1
7,False,0.99997306,3,3
8,False,0.9989742,1,1
9,False,0.9998869,4,4
10,False,0.9992574,3,3
11,False,0.9994103,5,5
12,False,0.9999466,3,3
13,False,0.99988437,6,6
14,False,0.9995695,1,1
15,False,0.995366,7,7
16,False,0.99714285,2,2
17,False,0.9998715,8,8
18,False,0.9845604,6,6
19,False,0.9978689,9,9
20,False,0.99885964,4,4
21,False,0.9997559,0,0
22,False,0.9068623,9,9
23,False,0.99717987,1,1
24,False,0.27444756,1,2
25,False,0.98361224,2,2
26,False,0.99606675,4,4
27,False,0.9999883,3,3
28,False,0.9746129,2,2
29,False,0.5967909,7,7
30,False,0.9508149,3,3
31,False,0.9992192,8,8
32,False,0.9996872,6,6
33,False,0.99379385,9,9
34,False,0.99636203,0,0
35,False,0.9981572,5,5
36,False,0.9978846,6,6
37,False,0.9998498,0,0
38,False,0.94674057,7,7
39,False,0.9991437,6,6
40,False,0.99862635,1,1
41,False,0.9998221,8,8
42,False,0.9742211,7,7
43,False,0.9969478,9,9
44,False,0.9970277,3,3
45,False,0.99980146,9,9
46,False,0.99936825,8,8
47,False,0.99996245,5,5
48,False,0.3754557,9,9
49,False,0.9951179,3,3
50,False,0.9985617,3,3
51,False,0.9999474,0,0
52,False,0.9998572,7,7
53,False,0.9831751,4,4
54,False,0.7523972,9,9
55,False,0.9965623,8,8
56,False,0.9998517,0,0
57,False,0.9992112,9,9
58,False,0.99989355,4,4
59,False,0.9994842,1,1
60,False,0.99193466,4,4
61,False,0.9895062,4,4
62,False,0.99403834,6,6
63,False,0.984394,0,0
64,False,0.9887544,4,4
65,False,0.9990928,5,5
66,False,0.99966884,6,6
67,False,0.97049797,1,1
68,False,0.962727,0,0
69,False,0.99428326,0,0
70,False,0.7045521,1,1
71,False,0.9955491,7,7
72,False,0.9982303,1,1
73,False,0.99971384,6,6
74,False,0.99971515,3,3
75,False,0.9997651,0,0
76,False,0.99822253,2,2
77,False,0.99833375,1,1
78,False,0.9757623,1,1
79,False,0.9971738,7,7
80,False,0.004676057,9,5
81,False,0.99935466,0,0
82,False,0.99977976,2,2
83,False,0.9997564,6,6
84,False,0.9996375,7,7
85,False,0.9997576,8,8
86,False,0.9979735,3,3
87,False,0.9989015,9,9
88,False,0.999841,0,0
89,False,0.9992053,4,4
90,False,0.99997926,6,6
